area,cru,type,couleur,age_min,age_max,t_min,t_max,glass_type,comments,color
CÔTE-DE-NUITS-VILLAGES,CÔTE-DE-NUITS-VILLAGES,sec,rouge,3.0,8.0,16.0,0.0,,,rouge
CÔTE-DE-NUITS-VILLAGES,CÔTE-DE-NUITS-VILLAGES,sec,blanc,1.0,5.0,12.0,14.0,,,blanc
ÉCHÉZEAUX,Echezeaux Grand Cru,sec,rouge,7.0,30.0,16.0,0.0,,,rouge
Fixin,Fixin,sec,rouge,3.0,8.0,16.0,0.0,,,rouge
Fixin,Fixin Premier Cru,sec,rouge,3.0,10.0,16.0,0.0,,,rouge
Fixin,Fixin,sec,blanc,1.0,5.0,13.0,0.0,,,blanc
Fixin,Fixin Premier Cru,sec,blanc,1.0,6.0,13.0,0.0,,,blanc
Gevrey-Chambertin,Gevrey-Chambertin,sec,rouge,2.0,10.0,16.0,0.0,,,rouge
Gevrey-Chambertin,Gevrey-Chambertin Premier Cru,sec,rouge,4.0,20.0,16.0,0.0,,,rouge
GRANDS-ÉCHÉZEAUX,Grands-Echezeaux Grand Cru,sec,rouge,5.0,25.0,16.0,0.0,,,rouge
Griotte-Chambertin,Griotte-Chambertin Grand Cru,sec,rouge,8.0,30.0,16.0,0.0,,,rouge
GRANDE-RUE (LA),La Grande Rue Grand Cru,sec,rouge,7.0,25.0,16.0,0.0,,,rouge
ROMANÉE (LA),La Romanée Grand Cru,sec,rouge,10.0,40.0,16.0,0.0,,,rouge
TÂCHE (LA),La Tâche Grand Cru,sec,rouge,8.0,30.0,16.0,0.0,,,rouge
Latricières-Chambertin,Latricières-Chambertin Grand Cru,sec,rouge,7.0,35.0,16.0,0.0,,,rouge
Marsannay,Marsannay,sec,rouge,2.0,9.0,16.0,0.0,,,rouge
Marsannay,Marsannay,sec,blanc,3.0,7.0,12.0,0.0,,,blanc
Marsannay,Marsannay,sec,rosé,1.0,4.0,12.0,0.0,,,rosé
Mazis-Chambertin,Mazis-Chambertin Grand Cru,sec,rouge,7.0,30.0,16.0,0.0,,,rouge
Mazoyères-Chambertin,Mazoyères-Chambertin Grand Cru,sec,rouge,7.0,30.0,16.0,0.0,,,rouge
Morey-Saint-Denis,Morey-Saint-Denis,sec,rouge,3.0,12.0,16.0,0.0,,,rouge
Morey-Saint-Denis,Morey-Saint-Denis Premier Cru,sec,rouge,3.0,15.0,16.0,0.0,,,rouge
Morey-Saint-Denis,Morey-Saint-Denis,sec,blanc,2.0,8.0,13.0,0.0,,,blanc
Morey-Saint-Denis,Morey-Saint-Denis Premier Cru,sec,blanc,2.0,12.0,13.0,0.0,,,blanc
Nuits-Saint-Georges,Nuits-Saint-Georges,sec,rouge,4.0,15.0,16.0,0.0,,,rouge
Nuits-Saint-Georges,Nuits-Saint-Georges Premier Cru,sec,rouge,5.0,20.0,16.0,0.0,,,rouge
Nuits-Saint-Georges,Nuits-Saint-Georges,sec,blanc,3.0,8.0,13.0,0.0,,,blanc
Nuits-Saint-Georges,Nuits-Saint-Georges Premier Cru,sec,blanc,3.0,15.0,13.0,0.0,,,blanc
Richebourg,Richebourg Grand Cru,sec,rouge,7.0,35.0,16.0,0.0,,,rouge
Romanée-Conti,Romanée-Conti Grand Cru,sec,rouge,7.0,40.0,16.0,0.0,,,rouge
Romanée-Saint-Vivant,Romanée-Saint-Vivant Grand Cru,sec,rouge,7.0,35.0,16.0,0.0,,,rouge
Ruchottes-Chambertin,Ruchottes-Chambertin Grand Cru,sec,rouge,7.0,30.0,16.0,0.0,,,rouge
Vosne-Romanée,Vosne-Romanée,sec,rouge,2.0,13.0,16.0,0.0,,,rouge
Vosne-Romanée,Vosne-Romanée Premier Cru,sec,rouge,5.0,20.0,16.0,0.0,,,rouge
Vougeot,Vougeot,sec,rouge,3.0,12.0,16.0,0.0,,,rouge
Vougeot,Vougeot Premier Cru,sec,rouge,5.0,15.0,16.0,0.0,,,rouge
Vougeot,Vougeot,sec,blanc,2.0,10.0,13.0,0.0,,,blanc
Vougeot,Vougeot Premier Cru,sec,blanc,2.0,15.0,13.0,0.0,,,blanc
COTEAUX-DU-LYONNAIS,COTEAUX-DU-LYONNAIS,sec,rouge,2.0,5.0,14.0,16.0,,,rouge
COTEAUX-DU-LYONNAIS,COTEAUX-DU-LYONNAIS,sec,blanc,1.0,4.0,10.0,12.0,,,blanc
COTEAUX-DU-LYONNAIS,COTEAUX-DU-LYONNAIS,sec,rosé,1.0,3.0,9.0,11.0,,,rosé
MÂCON ET MÂCON-VILLAGES,MÂCON ET MÂCON-VILLAGES,sec,rouge,2.0,6.0,14.0,0.0,,,rouge
MÂCON ET MÂCON-VILLAGES,MÂCON ET MÂCON-VILLAGES,sec,blanc,2.0,8.0,12.0,13.0,,,blanc
MÂCON ET MÂCON-VILLAGES,MÂCON ET MÂCON-VILLAGES,sec,rosé,1.0,3.0,10.0,0.0,,,rosé
MÂCON SUPÉRIEUR,MÂCON SUPÉRIEUR,sec,rouge,2.0,8.0,14.0,0.0,,,rouge
MÂCON SUPÉRIEUR,MÂCON SUPÉRIEUR,sec,blanc,2.0,10.0,12.0,13.0,,,blanc
MÂCON SUPÉRIEUR,MÂCON SUPÉRIEUR,sec,rosé,1.0,4.0,10.0,0.0,,,rosé
Pouilly-Fuissé,Pouilly-Fuissé,sec,blanc,3.0,12.0,13.0,0.0,,,blanc
Pouilly-Loché,Pouilly-Loché,sec,blanc,5.0,15.0,13.0,0.0,,,blanc
Pouilly-Vinzelles,Pouilly-Vinzelles,sec,blanc,2.0,8.0,13.0,0.0,,,blanc
Saint-Véran,Saint-Véran,sec,blanc,3.0,8.0,13.0,0.0,,,blanc
Viré-Clessé,Viré-Clessé,sec,blanc,3.0,10.0,13.0,0.0,,,blanc
Vins de pays/IGP Comtés rhodaniens,Vins de pays/IGP Comtés rhodaniens,sec,rouge,2.0,5.0,16.0,16.0,,,rouge
Vins de pays/IGP Comtés rhodaniens,Vins de pays/IGP Comtés rhodaniens,sec,blanc,1.0,3.0,8.0,10.0,,,blanc
Vins de pays/IGP Comtés rhodaniens,Vins de pays/IGP Comtés rhodaniens,sec,rosé,2.0,4.0,8.0,10.0,,,rosé
Champagne,Champagne millésimé,effervescent,blanc,1.0,15.0,10.0,12.0,,,blanc
Champagne,Champagne millésimé,effervescent,rosé,1.0,15.0,11.0,12.0,,,rosé
Champagne,Champagne BSA,effervescent,blanc,1.0,8.0,8.0,10.0,,,blanc
Champagne,Champagne BSA,effervescent,rosé,1.0,8.0,9.0,11.0,,,rosé
Champagne,Coteaux-Champenois,sec,rouge,3.0,8.0,13.0,14.0,,,rouge
Champagne,Coteaux-Champenois,sec,blanc,2.0,10.0,10.0,10.0,,,blanc
Champagne,Coteaux-Champenois,sec,rosé,1.0,4.0,8.0,10.0,,,rosé
Champagne,ROSÉ-DES-RICEYS,sec,rosé,2.0,6.0,10.0,12.0,,,rosé
Vins de pays/IGP Coteaux de Coiffy,Vins de pays/IGP Coteaux de Coiffy,sec,rouge,2.0,7.0,12.0,14.0,,,rouge
Vins de pays/IGP Coteaux de Coiffy,Vins de pays/IGP Coteaux de Coiffy,sec,blanc,2.0,7.0,12.0,14.0,,,blanc
Vins de pays/IGP Coteaux de Coiffy,Vins de pays/IGP Coteaux de Coiffy,sec,rosé,1.0,4.0,11.0,13.0,,,rosé
Vins de pays/IGP Haute-Marne,Vins de pays/IGP Haute-Marne,sec,rouge,2.0,5.0,16.0,17.0,,,rouge
Vins de pays/IGP Haute-Marne,Vins de pays/IGP Haute-Marne,sec,blanc,2.0,5.0,12.0,14.0,,,blanc
Vins de pays/IGP Haute-Marne,Vins de pays/IGP Haute-Marne,effervescent,blanc,1.0,3.0,6.0,8.0,,,blanc
Vins de pays/IGP Haute-Marne,Vins de pays/IGP Haute-Marne,sec,rosé,1.0,3.0,8.0,10.0,,,rosé
Ajaccio,Ajaccio,sec,rouge,2.0,5.0,16.0,16.0,,,rouge
Ajaccio,Ajaccio,sec,blanc,1.0,3.0,7.0,9.0,,,blanc
Ajaccio,Ajaccio,sec,rosé,1.0,3.0,8.0,10.0,,,rosé
Vins de pays/IGP Charentais,Vins de pays/IGP Charentais,sec,rouge,1.0,4.0,16.0,16.0,,,rouge
Vins de pays/IGP Charentais,Vins de pays/IGP Charentais,sec,blanc,1.0,2.0,9.0,11.0,,,blanc
Vins de pays/IGP Charentais,Vins de pays/IGP Charentais,sec,rosé,1.0,3.0,8.0,10.0,,,rosé
MUSCAT-DU-CAP-CORSE,MUSCAT-DU-CAP-CORSE,doux,blanc,3.0,10.0,9.0,11.0,,,jaune
Patrimonio,Patrimonio,sec,rouge,3.0,10.0,16.0,16.0,,,rouge
Patrimonio,Patrimonio,sec,blanc,1.0,3.0,10.0,11.0,,,blanc
Patrimonio,Patrimonio,sec,rosé,1.0,2.0,12.0,12.0,,,rosé
CORSE (VIN DE),CORSE (VIN DE),sec,rouge,2.0,5.0,16.0,0.0,,,rouge
CORSE (VIN DE),CORSE (VIN DE),sec,blanc,1.0,3.0,8.0,0.0,,,blanc
CORSE (VIN DE),CORSE (VIN DE),sec,rosé,1.0,3.0,10.0,0.0,,,rosé
Arbois,Arbois,sec,rouge,3.0,10.0,14.0,16.0,,,rouge
Arbois,Arbois,sec,blanc,1.0,7.0,11.0,0.0,,,blanc
Arbois,Arbois,sec,rosé,1.0,2.0,10.0,12.0,,,rosé
Arbois,Arbois Vin de paille,doux,blanc,5.0,20.0,7.0,8.0,,,jaune
Arbois,Arbois vin jaune,sec,blanc,7.0,40.0,14.0,14.0,,,blanc
CHÂTEAU-CHALON,CHÂTEAU-CHALON,sec,blanc,7.0,60.0,14.0,16.0,,,blanc
CÔTES-DU-JURA,CÔTES-DU-JURA,sec,blanc,2.0,8.0,12.0,14.0,,,blanc
CÔTES-DU-JURA,CÔTES-DU-JURA,sec,rouge,2.0,10.0,16.0,16.0,,,rouge
CÔTES-DU-JURA,CÔTES-DU-JURA,sec,rosé,1.0,3.0,8.0,10.0,,,rosé
CÔTES-DU-JURA,CÔTES-DU-JURA Vin jaune,doux,blanc,6.0,40.0,15.0,16.0,,,jaune
CÔTES-DU-JURA,CÔTES-DU-JURA,doux,blanc,5.0,15.0,8.0,10.0,,,jaune
Crémant du Jura,CRÉMANT-DU-JURA,effervescent,blanc,1.0,5.0,8.0,0.0,,,blanc
Crémant du Jura,CRÉMANT-DU-JURA,effervescent,rosé,1.0,4.0,8.0,0.0,,,rosé
L'ÉTOILE,L'ÉTOILE,sec,blanc,3.0,10.0,12.0,0.0,,,blanc
L'ÉTOILE,L'ÉTOILE vin jaune,sec,blanc,6.0,40.0,14.0,16.0,,,blanc
L'ÉTOILE,L'ÉTOILE vin de paille,doux,blanc,10.0,35.0,8.0,10.0,,,jaune
Vins de pays/IGP Franche-Comté,Vins de pays/IGP Franche-Comté,sec,rouge,2.0,5.0,16.0,16.0,,,rouge
Vins de pays/IGP Franche-Comté,Vins de pays/IGP Franche-Comté,sec,blanc,1.0,5.0,12.0,14.0,,,blanc
Vins de pays/IGP Franche-Comté,Vins de pays/IGP Franche-Comté,sec,rosé,1.0,2.0,9.0,11.0,,,rosé
MACVIN-DU-JURA,MACVIN-DU-JURA,doux,blanc,5.0,20.0,10.0,13.0,,,jaune
MACVIN-DU-JURA,MACVIN-DU-JURA,doux,rouge,5.0,20.0,11.0,14.0,,,rouge
MACVIN-DU-JURA,MACVIN-DU-JURA,doux,rosé,5.0,15.0,10.0,13.0,,,rosé
Cabardès,Cabardès,sec,rouge,5.0,10.0,14.0,16.0,,,rouge
Cabardès,Cabardès,sec,rosé,1.0,3.0,10.0,12.0,,,rosé
Clairette-du-languedoc,Clairette-du-languedoc,sec,blanc,1.0,3.0,10.0,10.0,,,blanc
Clairette-du-languedoc,Clairette-du-languedoc,doux,blanc,5.0,15.0,10.0,13.0,,,jaune
Clairette-du-languedoc,Clairette-du-languedoc rancio,doux,blanc,4.0,12.0,10.0,13.0,,,jaune
Corbières,Corbières,sec,blanc,4.0,8.0,10.0,11.0,,,blanc
Corbières,Corbières,sec,rouge,4.0,10.0,16.0,18.0,,,rouge
Corbières,Corbières,sec,rosé,1.0,3.0,8.0,10.0,,,rosé
Corbières-boutenac,Corbières-boutenac,sec,rouge,4.0,15.0,16.0,18.0,,,rouge
Crémant-de-limoux,Crémant-de-limoux,effervescent,blanc,2.0,4.0,8.0,10.0,,,blanc
Crémant-de-limoux,Crémant-de-limoux,effervescent,rosé,2.0,4.0,8.0,10.0,,,rosé
Faugères,Faugères,sec,rouge,5.0,15.0,16.0,18.0,,,rouge
Faugères,Faugères,sec,blanc,3.0,8.0,11.0,13.0,,,blanc
Faugères,Faugères,sec,rosé,1.0,4.0,10.0,11.0,,,rosé
Fitou,Fitou,sec,rouge,5.0,10.0,16.0,18.0,,,rouge
La Clape,La Clape,sec,rouge,5.0,15.0,16.0,18.0,,,rouge
IGP Coteaux de Béziers,IGP Coteaux de Béziers,sec,rouge,0.0,0.0,0.0,0.0,,,rouge
IGP Coteaux de Béziers,IGP Coteaux de Béziers,sec,blanc,0.0,0.0,0.0,0.0,,,blanc
IGP Coteaux de Béziers,IGP Coteaux de Béziers,sec,rosé,0.0,0.0,0.0,0.0,,,rosé
Languedoc,Languedoc,sec,rouge,2.0,10.0,16.0,18.0,,,rouge
Languedoc,Languedoc,sec,blanc,1.0,8.0,9.0,11.0,,,blanc
Languedoc,Languedoc,sec,rosé,1.0,4.0,10.0,12.0,,,rosé
Vins de pays/IGP Cathare,Vins de pays/IGP Cathare,sec,rouge,1.0,3.0,16.0,17.0,,,rouge
Vins de pays/IGP Cathare,Vins de pays/IGP Cathare,sec,blanc,1.0,3.0,10.0,12.0,,,blanc
Vins de pays/IGP Cathare,Vins de pays/IGP Cathare,sec,rosé,1.0,2.0,8.0,10.0,,,rosé
Vins de pays/IGP Cité de Carcassonne,Vins de pays/IGP Cité de Carcassonne,sec,rouge,1.0,4.0,16.0,16.0,,,rouge
Vins de pays/IGP Cité de Carcassonne,Vins de pays/IGP Cité de Carcassonne,sec,blanc,1.0,3.0,10.0,11.0,,,blanc
Vins de pays/IGP Cité de Carcassonne,Vins de pays/IGP Cité de Carcassonne,sec,rosé,1.0,2.0,8.0,10.0,,,rosé
Vins de pays/IGP Coteaux d'Ensérune,Vins de pays/IGP Coteaux d'Ensérune,sec,rouge,2.0,8.0,14.0,16.0,,,rouge
Vins de pays/IGP Coteaux d'Ensérune,Vins de pays/IGP Coteaux d'Ensérune,sec,blanc,1.0,3.0,8.0,10.0,,,blanc
Vins de pays/IGP Coteaux d'Ensérune,Vins de pays/IGP Coteaux d'Ensérune,sec,rosé,1.0,2.0,7.0,9.0,,,rosé
Vins de pays/IGP Coteaux de Peyriac,Vins de pays/IGP Coteaux de Peyriac,sec,rouge,1.0,3.0,16.0,16.0,,,rouge
Vins de pays/IGP Coteaux de Peyriac,Vins de pays/IGP Coteaux de Peyriac,sec,blanc,1.0,2.0,7.0,9.0,,,blanc
Vins de pays/IGP Coteaux de Peyriac,Vins de pays/IGP Coteaux de Peyriac,sec,rosé,1.0,2.0,7.0,9.0,,,rosé
Vins de pays/IGP Côtes de Thau,Vins de pays/IGP Côtes de Thau,sec,rouge,2.0,6.0,16.0,18.0,,,rouge
Vins de pays/IGP Côtes de Thau,Vins de pays/IGP Côtes de Thau,sec,blanc,2.0,5.0,11.0,13.0,,,blanc
Vins de pays/IGP Côtes de Thau,Vins de pays/IGP Côtes de Thau,sec,rosé,1.0,3.0,8.0,10.0,,,rosé
Vins de pays/IGP Côtes de Thongue,Vins de pays/IGP Côtes de Thongue,sec,rouge,1.0,6.0,16.0,18.0,,,rouge
Vins de pays/IGP Côtes de Thongue,Vins de pays/IGP Côtes de Thongue,sec,blanc,1.0,3.0,9.0,11.0,,,blanc
Vins de pays/IGP Côtes de Thongue,Vins de pays/IGP Côtes de Thongue,sec,rosé,1.0,2.0,8.0,10.0,,,rosé
Vins de pays/IGP Côtes du Brian,Vins de pays/IGP Côtes du Brian,sec,rouge,2.0,6.0,16.0,18.0,,,rouge
Vins de pays/IGP Côtes du Brian,Vins de pays/IGP Côtes du Brian,sec,blanc,1.0,3.0,11.0,12.0,,,blanc
Vins de pays/IGP Côtes du Brian,Vins de pays/IGP Côtes du Brian,sec,rosé,1.0,2.0,8.0,10.0,,,rosé
Vins de pays/IGP Haute vallée de l'Aude,Vins de pays/IGP Haute vallée de l'Aude,sec,rouge,2.0,5.0,16.0,16.0,,,rouge
Vins de pays/IGP Haute vallée de l'Aude,Vins de pays/IGP Haute vallée de l'Aude,sec,blanc,1.0,4.0,10.0,12.0,,,blanc
Vins de pays/IGP Haute vallée de l'Aude,Vins de pays/IGP Haute vallée de l'Aude,sec,rosé,1.0,1.0,8.0,10.0,,,rosé
Vins de pays/IGP Haute vallée de l'Orb,Vins de pays/IGP Haute vallée de l'Orb,sec,rouge,1.0,4.0,16.0,16.0,,,rouge
Vins de pays/IGP Haute vallée de l'Orb,Vins de pays/IGP Haute vallée de l'Orb,sec,blanc,1.0,4.0,10.0,12.0,,,blanc
Vins de pays/IGP Haute vallée de l'Orb,Vins de pays/IGP Haute vallée de l'Orb,sec,rosé,1.0,2.0,8.0,10.0,,,rosé
Vins de pays/IGP Hérault,Vins de pays/IGP Hérault,sec,rouge,3.0,12.0,16.0,16.0,,,rouge
Vins de pays/IGP Hérault,Vins de pays/IGP Hérault,sec,blanc,2.0,10.0,11.0,13.0,,,blanc
Vins de pays/IGP Hérault,Vins de pays/IGP Hérault,sec,rosé,1.0,3.0,9.0,11.0,,,rosé
Vins de pays/IGP Sable de Camargue,Vins de pays/IGP Sable de Camargue,sec,rouge,2.0,5.0,16.0,16.0,,,rouge
Vins de pays/IGP Sable de Camargue,Vins de pays/IGP Sable de Camargue,sec,blanc,1.0,4.0,9.0,11.0,,,blanc
Vins de pays/IGP Sable de Camargue,Vins de pays/IGP Sable de Camargue,sec,rosé,1.0,3.0,9.0,11.0,,,rosé
Vins de pays/IGP Sable de Camargue,Vins de pays/IGP Sable de Camargue,sec,blanc,1.0,3.0,9.0,11.0,,,blanc
Vins de pays/IGP Sable de Camargue,Vins de pays/IGP Sable de Camargue,effervescent,blanc,1.0,3.0,6.0,8.0,,,blanc
Vins de pays/IGP Saint-Guilhem-le-Désert,Vins de pays/IGP Saint-Guilhem-le-Désert,sec,rouge,2.0,6.0,16.0,16.0,,,rouge
Vins de pays/IGP Saint-Guilhem-le-Désert,Vins de pays/IGP Saint-Guilhem-le-Désert,sec,blanc,2.0,4.0,10.0,12.0,,,blanc
Vins de pays/IGP Saint-Guilhem-le-Désert,Vins de pays/IGP Saint-Guilhem-le-Désert,sec,rosé,1.0,2.0,8.0,10.0,,,rosé
Vins de pays/IGP Torgan,Vins de pays/IGP Torgan,sec,rouge,2.0,4.0,16.0,16.0,,,rouge
Vins de pays/IGP Torgan,Vins de pays/IGP Torgan,sec,blanc,1.0,4.0,9.0,11.0,,,blanc
Vins de pays/IGP Torgan,Vins de pays/IGP Torgan,sec,rosé,1.0,2.0,8.0,10.0,,,rosé
Vins de pays/IGP Vallée du paradis,Vins de pays/IGP Vallée du paradis,sec,rouge,2.0,6.0,15.0,17.0,,,rouge
Vins de pays/IGP Vallée du paradis,Vins de pays/IGP Vallée du paradis,sec,blanc,1.0,4.0,10.0,11.0,,,blanc
Vins de pays/IGP Vallée du paradis,Vins de pays/IGP Vallée du paradis,sec,rosé,1.0,2.0,8.0,10.0,,,rosé
Vins de pays/IGP Vicomté d'Aumélas,Vins de pays/IGP Vicomté d'Aumélas,sec,rouge,2.0,7.0,16.0,16.0,,,rouge
Vins de pays/IGP Vicomté d'Aumélas,Vins de pays/IGP Vicomté d'Aumélas,sec,blanc,2.0,5.0,12.0,14.0,,,blanc
Vins de pays/IGP Vicomté d'Aumélas,Vins de pays/IGP Vicomté d'Aumélas,sec,rosé,1.0,2.0,8.0,10.0,,,rosé
Vins de pays/IGPCoteaux de Narbonne,Vins de pays/IGPCoteaux de Narbonne,sec,rouge,1.0,4.0,16.0,16.0,,,rouge
Vins de pays/IGPCoteaux de Narbonne,Vins de pays/IGPCoteaux de Narbonne,sec,blanc,1.0,3.0,8.0,10.0,,,blanc
Vins de pays/IGPCoteaux de Narbonne,Vins de pays/IGPCoteaux de Narbonne,sec,rosé,1.0,2.0,7.0,9.0,,,rosé
Limoux,Limoux,sec,rouge,3.0,10.0,15.0,17.0,,,rouge
Limoux,Limoux,sec,blanc,2.0,8.0,9.0,11.0,,,blanc
Limoux,Blanquette méthode ancestrale,effervescent,blanc,2.0,5.0,8.0,10.0,,,blanc
Limoux,Blanquette-de-limoux,effervescent,blanc,2.0,5.0,8.0,10.0,,,blanc
Malepère,Malepère,sec,rouge,4.0,12.0,15.0,16.0,,,rouge
Malepère,Malepère,sec,rosé,2.0,4.0,8.0,11.0,,,rosé
Minervois,Minervois,sec,rouge,4.0,10.0,15.0,17.0,,,rouge
Minervois,Minervois,sec,rosé,2.0,4.0,9.0,11.0,,,rosé
Minervois,Minervois,sec,blanc,2.0,7.0,12.0,12.0,,,blanc
Minervois-la-livinière,Minervois-la-livinière,sec,rouge,5.0,15.0,16.0,18.0,,,rouge
Muscat-de-frontignan,Muscat-de-frontignan,doux,blanc,4.0,20.0,9.0,11.0,,,jaune
Muscat-de-lunel,Muscat-de-lunel,doux,blanc,4.0,20.0,9.0,11.0,,,jaune
Muscat-de-mireval,Muscat-de-mireval,doux,blanc,4.0,20.0,9.0,11.0,,,jaune
Muscat-de-saint-jean-de-minervois,Muscat-de-saint-jean-de-minervois,doux,blanc,4.0,20.0,9.0,11.0,,,jaune
Pic-saint-loup,Pic-saint-loup,sec,rouge,5.0,15.0,16.0,18.0,,,rouge
Picpoul-de-pinet,Picpoul-de-pinet,sec,rouge,5.0,15.0,16.0,18.0,,,rouge
Saint-chinian,Saint-chinian,sec,rouge,3.0,10.0,16.0,18.0,,,rouge
Saint-chinian,Saint-chinian,sec,blanc,3.0,8.0,8.0,10.0,,,blanc
Saint-chinian,Saint-chinian,sec,rosé,2.0,4.0,9.0,11.0,,,rosé
Vins de pays/IGP Oc,Vins de pays/IGP Oc,sec,rouge,2.0,6.0,15.0,17.0,,,rouge
Vins de pays/IGP Oc,Vins de pays/IGP Oc,sec,blanc,1.0,4.0,9.0,11.0,,,blanc
Vins de pays/IGP Oc,Vins de pays/IGP Oc,sec,rosé,1.0,3.0,9.0,11.0,,,rosé
Côtes-de-toul,Côtes-de-toul,sec,rouge,2.0,6.0,14.0,16.0,,,rouge
Côtes-de-toul,Côtes-de-toul,sec,blanc,3.0,5.0,10.0,12.0,,,blanc
Côtes-de-toul,Côtes-de-toul,sec,blanc,2.0,3.0,9.0,11.0,,,blanc
Vins de pays/IGP Côte de Meuse,Vins de pays/IGP Côte de Meuse,sec,rouge,1.0,3.0,16.0,16.0,,,rouge
Vins de pays/IGP Côte de Meuse,Vins de pays/IGP Côte de Meuse,sec,blanc,1.0,2.0,8.0,10.0,,,blanc
Vins de pays/IGP Côte de Meuse,Vins de pays/IGP Côte de Meuse,sec,rosé,1.0,3.0,8.0,11.0,,,rosé
Moselle,Moselle,sec,rouge,2.0,5.0,14.0,16.0,,,rouge
Moselle,Moselle,sec,blanc,3.0,5.0,10.0,12.0,,,blanc
Moselle,Moselle,sec,rosé,2.0,3.0,10.0,12.0,,,rosé
Haut-poitou,Haut-poitou,sec,rouge,3.0,10.0,14.0,16.0,,,rouge
Haut-poitou,Haut-poitou,sec,blanc,2.0,5.0,9.0,11.0,,,blanc
Haut-poitou,Haut-poitou,sec,rosé,1.0,3.0,8.0,11.0,,,rosé
Bandol,Bandol,sec,rouge,3.0,20.0,16.0,18.0,,,rouge
Bandol,Bandol,sec,rosé,2.0,7.0,8.0,11.0,,,rosé
Bandol,Bandol,sec,blanc,2.0,5.0,8.0,11.0,,,blanc
Baux-de-Provence (Les),Baux-de-Provence (Les),sec,rouge,3.0,15.0,15.0,17.0,,,rouge
Baux-de-Provence (Les),Baux-de-Provence (Les),sec,blanc,2.0,8.0,8.0,11.0,,,blanc
Baux-de-Provence (Les),Baux-de-Provence (Les),sec,rosé,2.0,5.0,8.0,10.0,,,rosé
Bellet,Bellet,sec,rouge,3.0,15.0,14.0,15.0,,,rouge
Bellet,Bellet,sec,blanc,3.0,10.0,8.0,11.0,,,blanc
Bellet,Bellet,sec,rosé,1.0,3.0,10.0,12.0,,,rosé
Cassis,Cassis,sec,rouge,2.0,7.0,14.0,16.0,,,rouge
Cassis,Cassis,sec,blanc,4.0,10.0,10.0,12.0,,,blanc
Cassis,Cassis,sec,rosé,2.0,4.0,10.0,11.0,,,rosé
Coteaux-d'aix-en-provence,Coteaux-d'aix-en-provence,sec,rouge,3.0,15.0,14.0,16.0,,,rouge
Coteaux-d'aix-en-provence,Coteaux-d'aix-en-provence,sec,blanc,2.0,8.0,8.0,10.0,,,blanc
Coteaux-d'aix-en-provence,Coteaux-d'aix-en-provence,sec,rosé,1.0,4.0,9.0,11.0,,,rosé
Coteaux-varois-en-provence,Coteaux-varois-en-provence,sec,rouge,3.0,15.0,14.0,16.0,,,rouge
Coteaux-varois-en-provence,Coteaux-varois-en-provence,sec,blanc,2.0,8.0,8.0,10.0,,,blanc
Coteaux-varois-en-provence,Coteaux-varois-en-provence,sec,rosé,1.0,4.0,9.0,11.0,,,rosé
Côtes-de-provence,Côtes-de-provence,sec,rouge,3.0,15.0,14.0,16.0,,,rouge
Côtes-de-provence,Côtes-de-provence,sec,blanc,2.0,8.0,8.0,10.0,,,blanc
Côtes-de-provence,Côtes-de-provence,sec,rosé,1.0,4.0,9.0,11.0,,,rosé
Palette,Palette,sec,rouge,4.0,16.0,15.0,17.0,,,rouge
Palette,Palette,sec,blanc,4.0,12.0,10.0,12.0,,,blanc
Palette,Palette,sec,rosé,2.0,6.0,10.0,13.0,,,rosé
Vins de pays/IGP Alpes-de-Haute-Provence,Vins de pays/IGP Alpes-de-Haute-Provence,sec,rouge,2.0,10.0,16.0,16.0,,,rouge
Vins de pays/IGP Alpes-de-Haute-Provence,Vins de pays/IGP Alpes-de-Haute-Provence,sec,blanc,1.0,2.0,8.0,10.0,,,blanc
Vins de pays/IGP Alpes-de-Haute-Provence,Vins de pays/IGP Alpes-de-Haute-Provence,sec,rosé,1.0,3.0,9.0,11.0,,,rosé
Vins de pays/IGP Alpes-Maritimes,Vins de pays/IGP Alpes-Maritimes,sec,rouge,2.0,8.0,14.0,16.0,,,rouge
Vins de pays/IGP Alpes-Maritimes,Vins de pays/IGP Alpes-Maritimes,sec,blanc,1.0,4.0,8.0,10.0,,,blanc
Vins de pays/IGP Alpes-Maritimes,Vins de pays/IGP Alpes-Maritimes,sec,rosé,1.0,3.0,8.0,10.0,,,rosé
Vins de pays/IGP Alpilles,Vins de pays/IGP Alpilles,sec,rouge,2.0,6.0,14.0,16.0,,,rouge
Vins de pays/IGP Alpilles,Vins de pays/IGP Alpilles,sec,blanc,1.0,4.0,8.0,10.0,,,blanc
Vins de pays/IGP Alpilles,Vins de pays/IGP Alpilles,sec,rosé,1.0,2.0,8.0,10.0,,,rosé
Vins de pays/IGP Maures,Vins de pays/IGP Maures,sec,rouge,2.0,4.0,16.0,16.0,,,rouge
Vins de pays/IGP Maures,Vins de pays/IGP Maures,sec,blanc,1.0,4.0,8.0,10.0,,,blanc
Vins de pays/IGP Maures,Vins de pays/IGP Maures,sec,rosé,1.0,3.0,8.0,10.0,,,rosé
Vins de pays/IGP Mont-Caume,Vins de pays/IGP Mont-Caume,sec,rouge,2.0,5.0,16.0,16.0,,,rouge
Vins de pays/IGP Mont-Caume,Vins de pays/IGP Mont-Caume,sec,blanc,1.0,4.0,8.0,10.0,,,blanc
