area,cru,type,couleur,age_min,age_max,t_min,t_max,glass_type,comments,color
ALSACE SYLVANER,ALSACE SYLVANER,sec,blanc,2.0,5.0,15.0,0.0,Bordelais ; Alsacien,Les meilleurs jusqu'à 10 ans,blanc
Alsace,Alsace,doux,blanc,5.0,30.0,8.0,12.0,Bordelais ; INAO,,jaune
Alsace,Alsace Grand Cru ,doux,blanc,10.0,50.0,11.0,13.0,Bordelais ; INAO,Les Grands Crus peuvent être servis à 14°C,jaune
Alsace,CRÉMANT-D'ALSACE,Effervescent,blanc,1.0,4.0,5.0,7.0,Champagne,,blanc
Alsace,CRÉMANT-D'ALSACE,Effervescent,rosé,1.0,4.0,6.0,8.0,Vin Blanc; Champagne,,rosé
Beaujolais,Beaujolais,sec,blanc,2.0,5.0,10.0,12.0,Bordelais ; INAO,,blanc
Beaujolais,Beaujolais,sec,rosé,2.0,4.0,8.0,11.0,Bourgogne,,rosé
Beaujolais,Beaujolais,sec,rouge,3.0,8.0,14.0,16.0,Bourgogne,,rouge
Beaujolais,Beaujolais-villages,sec,blanc,2.0,5.0,10.0,12.0,Bordelais ; INAO,,blanc
Beaujolais,Beaujolais-villages,sec,rosé,2.0,4.0,8.0,11.0,Bourgogne,,rosé
Beaujolais,Beaujolais-villages,sec,rouge,3.0,8.0,14.0,16.0,Bourgogne,,rouge
Beaujolais,Beaujolais supérieur,sec,rouge,3.0,8.0,14.0,16.0,Bourgogne,,rouge
Beaujolais,Comtés Rhodaniens,sec,rouge,2.0,5.0,16.0,0.0,,,rouge
Beaujolais,Comtés Rhodaniens,sec,rosé,1.0,3.0,8.0,0.0,,,rosé
Beaujolais,Comtés Rhodaniens,sec,blanc,2.0,4.0,8.0,0.0,,,blanc
Beaujolais,Saône-et-Loire,sec,rouge,3.0,5.0,14.0,15.0,,,rouge
Beaujolais,Saône-et-Loire,sec,rosé,1.0,3.0,8.0,11.0,,,rosé
Beaujolais,Saône-et-Loire,sec,blanc,2.0,5.0,10.0,13.0,,,blanc
Brouilly,Brouilly,sec,rouge,2.0,6.0,12.0,13.0,Bourgogne,,rouge
Chénas,Chénas,sec,rouge,4.0,10.0,16.0,16.0,,,rouge
Chiroubles,Chiroubles,sec,rouge,1.0,4.0,12.0,13.0,,,rouge
CÔTE-DE-BROUILLY,CÔTE-DE-BROUILLY,sec,rouge,4.0,8.0,15.0,15.0,,,rouge
Fleurie,Fleurie,sec,rouge,1.0,4.0,14.0,14.0,,,rouge
Juliénas,Juliénas,sec,rouge,4.0,10.0,14.0,15.0,,,rouge
Morgon,Morgon,sec,rouge,4.0,12.0,16.0,16.0,,,rouge
Moulin-à-Vent,Moulin-à-Vent,sec,rouge,5.0,12.0,16.0,16.0,,,rouge
Régnié,Régnié,sec,rouge,3.0,8.0,14.0,16.0,,,rouge
Saint-Amour,Saint-Amour,sec,rouge,2.0,6.0,15.0,15.0,,,rouge
Vins de pays/IGP Saône-et-Loire,Vins de pays/IGP Saône-et-Loire,sec,rouge,3.0,5.0,14.0,15.0,,,rouge
