area,cru,age_min,age_max,t_min,t_max,glass_type,comments,color
Pommard,Pommard Premier Cru,6.0,20.0,16.0,0.0,,,rouge
Puligny-Montrachet,Puligny-Montrachet,5.0,10.0,16.0,0.0,,,rouge
Puligny-Montrachet,Puligny-Montrachet Premier Cru,5.0,15.0,16.0,0.0,,,rouge
Puligny-Montrachet,Puligny-Montrachet,3.0,10.0,13.0,0.0,,,blanc
Puligny-Montrachet,Puligny-Montrachet Premier Cru,3.0,15.0,13.0,0.0,,,blanc
Saint-Aubin,Saint-Aubin,5.0,12.0,16.0,0.0,,,rouge
Saint-Aubin,Saint-Aubin Premier Cru,6.0,15.0,16.0,0.0,,,rouge
Saint-Aubin,Saint-Aubin,4.0,10.0,13.0,0.0,,,blanc
Saint-Aubin,Saint-Aubin Premier Cru,5.0,15.0,13.0,0.0,,,blanc
Saint-Romain,Saint-Romain,4.0,12.0,16.0,0.0,,,rouge
Saint-Romain,Saint-Romain,2.0,10.0,13.0,0.0,,,blanc
Santenay,Santenay,3.0,7.0,16.0,0.0,,,rouge
Santenay,Santenay Premier Cru,4.0,15.0,16.0,0.0,,,rouge
Santenay,Santenay,2.0,8.0,13.0,0.0,,,blanc
Santenay,Santenay Premier Cru,3.0,17.0,13.0,0.0,,,blanc
Savigny-lès-Beaune,Savigny-lès-Beaune,4.0,10.0,16.0,0.0,,,rouge
Savigny-lès-Beaune,Savigny-lès-Beaune Premier Cru,6.0,16.0,16.0,0.0,,,rouge
Savigny-lès-Beaune,Savigny-lès-Beaune,4.0,10.0,13.0,0.0,,,blanc
Savigny-lès-Beaune,Savigny-lès-Beaune Premier Cru,5.0,15.0,13.0,0.0,,,blanc
Volnay,Volnay,3.0,6.0,16.0,0.0,,,rouge
Volnay,Volnay Premier Cru,4.0,15.0,16.0,0.0,,,rouge
Bonnes-Mares,Bonnes-Mares Grand Cru,10.0,25.0,16.0,0.0,,,rouge
Chambertin,Chambertin,7.0,15.0,14.0,16.0,,,rouge
Chambertin-Clos de Bèze,Chambertin-Clos de Bèze Grand Cru,10.0,35.0,14.0,16.0,,,rouge
Chambolle-Musigny,Chambolle-Musigny,5.0,10.0,16.0,16.0,,,rouge
Chambolle-Musigny,Chambolle-Musigny Premier Cru,7.0,15.0,16.0,16.0,,,rouge
Chapelle-Chambertin,Chapelle-Chambertin Grand Cru,7.0,20.0,15.0,16.0,,,rouge
Charmes-Chambertin,Charmes-Chambertin Grand Cru,6.0,25.0,16.0,0.0,,,rouge
Clos de la Roche,Clos de la Roche Grand Cru,8.0,30.0,16.0,0.0,,,rouge
Clos de Tart,Clos de Tart Grand Cru,8.0,30.0,15.0,16.0,,,rouge
Clos de Vougeot,Clos de Vougeot Grand Cru,10.0,35.0,16.0,0.0,,,rouge
Clos des Lambrays,Clos des Lambrays Grand Cru,7.0,25.0,16.0,0.0,,,rouge
Clos Saint-Denis,Clos Saint-Denis Grand Cru,5.0,20.0,15.0,16.0,,,rouge
Côte de Nuits Villages,Côte de Nuits Villages,3.0,8.0,16.0,0.0,,,rouge
Côte de Nuits Villages,Côte de Nuits Villages,1.0,5.0,12.0,14.0,,,blanc
Echezeaux,Echezeaux Grand Cru,7.0,30.0,16.0,0.0,,,rouge
Fixin,Fixin,3.0,8.0,16.0,0.0,,,rouge
Fixin,Fixin Premier Cru,3.0,10.0,16.0,0.0,,,rouge
Fixin,Fixin,1.0,5.0,13.0,0.0,,,blanc
Fixin,Fixin Premier Cru,1.0,6.0,13.0,0.0,,,blanc
Gevrey-Chambertin,Gevrey-Chambertin,2.0,10.0,16.0,0.0,,,rouge
Gevrey-Chambertin,Gevrey-Chambertin Premier Cru,4.0,20.0,16.0,0.0,,,rouge
Grands-Echezeaux,Grands-Echezeaux Grand Cru,5.0,25.0,16.0,0.0,,,rouge
Griotte-Chambertin,Griotte-Chambertin Grand Cru,8.0,30.0,16.0,0.0,,,rouge
La Grande Rue,La Grande Rue Grand Cru,7.0,25.0,16.0,0.0,,,rouge
La Romanée,La Romanée Grand Cru,10.0,40.0,16.0,0.0,,,rouge
La Tâche,La Tâche Grand Cru,8.0,30.0,16.0,0.0,,,rouge
Latricières-Chambertin,Latricières-Chambertin Grand Cru,7.0,35.0,16.0,0.0,,,rouge
Marsannay,Marsannay,2.0,9.0,16.0,0.0,,,rouge
Marsannay,Marsannay,3.0,7.0,12.0,0.0,,,blanc
Marsannay,Marsannay,1.0,4.0,12.0,0.0,,,rosé
Mazis-Chambertin,Mazis-Chambertin Grand Cru,7.0,30.0,16.0,0.0,,,rouge
Mazoyères-Chambertin,Mazoyères-Chambertin Grand Cru,7.0,30.0,16.0,0.0,,,rouge
Morey-Saint-Denis,Morey-Saint-Denis,3.0,12.0,16.0,0.0,,,rouge
Morey-Saint-Denis,Morey-Saint-Denis Premier Cru,3.0,15.0,16.0,0.0,,,rouge
Morey-Saint-Denis,Morey-Saint-Denis,2.0,8.0,13.0,0.0,,,blanc
Morey-Saint-Denis,Morey-Saint-Denis Premier Cru,2.0,12.0,13.0,0.0,,,blanc
Nuits-Saint-Georges,Nuits-Saint-Georges,4.0,15.0,16.0,0.0,,,rouge
Nuits-Saint-Georges,Nuits-Saint-Georges Premier Cru,5.0,20.0,16.0,0.0,,,rouge
Nuits-Saint-Georges,Nuits-Saint-Georges,3.0,8.0,13.0,0.0,,,blanc
Nuits-Saint-Georges,Nuits-Saint-Georges Premier Cru,3.0,15.0,13.0,0.0,,,blanc
Richebourg,Richebourg Grand Cru,7.0,35.0,16.0,0.0,,,rouge
Romanée-Conti,Romanée-Conti Grand Cru,7.0,40.0,16.0,0.0,,,rouge
Romanée-Saint-Vivant,Romanée-Saint-Vivant Grand Cru,7.0,35.0,16.0,0.0,,,rouge
Ruchottes-Chambertin,Ruchottes-Chambertin Grand Cru,7.0,30.0,16.0,0.0,,,rouge
Vosne-Romanée,Vosne-Romanée,2.0,13.0,16.0,0.0,,,rouge
Vosne-Romanée,Vosne-Romanée Premier Cru,5.0,20.0,16.0,0.0,,,rouge
Vougeot,Vougeot,3.0,12.0,16.0,0.0,,,rouge
Vougeot,Vougeot Premier Cru,5.0,15.0,16.0,0.0,,,rouge
Vougeot,Vougeot,2.0,10.0,13.0,0.0,,,blanc
Vougeot,Vougeot Premier Cru,2.0,15.0,13.0,0.0,,,blanc
Mâcon,Mâcon,2.0,8.0,14.0,0.0,,,rouge
Mâcon,Mâcon,2.0,10.0,12.0,13.0,,,blanc
Mâcon,Mâcon,1.0,4.0,10.0,0.0,,,rosé
Pouilly-Fuissé,Pouilly-Fuissé,3.0,12.0,13.0,0.0,,,blanc
Pouilly-Loché,Pouilly-Loché,5.0,15.0,13.0,0.0,,,blanc
Pouilly-Vinzelles,Pouilly-Vinzelles,2.0,8.0,13.0,0.0,,,blanc
Saint-Véran,Saint-Véran,3.0,8.0,13.0,0.0,,,blanc
Viré-Clessé,Viré-Clessé,3.0,10.0,13.0,0.0,,,blanc
Vins de pays/IGP Comtés rhodaniens,Vins de pays/IGP Comtés rhodaniens,2.0,5.0,16.0,16.0,,,rouge
Vins de pays/IGP Comtés rhodaniens,Vins de pays/IGP Comtés rhodaniens,1.0,3.0,8.0,10.0,,,blanc
Vins de pays/IGP Comtés rhodaniens,Vins de pays/IGP Comtés rhodaniens,2.0,4.0,8.0,10.0,,,rosé
Champagne,Champagne millésimé,1.0,15.0,10.0,12.0,,,blanc
Champagne,Champagne millésimé,1.0,15.0,11.0,12.0,,,rosé
Champagne,Champagne BSA,1.0,8.0,8.0,10.0,,,blanc
Champagne,Champagne BSA,1.0,8.0,9.0,11.0,,,rosé
Champagne,Coteaux Champenois,3.0,8.0,13.0,14.0,,,rouge
Champagne,Coteaux Champenois,2.0,10.0,10.0,10.0,,,blanc
Champagne,Coteaux Champenois,1.0,4.0,8.0,10.0,,,rosé
Champagne,Rosé des Riceys,2.0,6.0,10.0,12.0,,,rosé
Vins de pays/IGP Coteaux de Coiffy,Vins de pays/IGP Coteaux de Coiffy,2.0,7.0,12.0,14.0,,,rouge
Vins de pays/IGP Coteaux de Coiffy,Vins de pays/IGP Coteaux de Coiffy,2.0,7.0,12.0,14.0,,,blanc
Vins de pays/IGP Coteaux de Coiffy,Vins de pays/IGP Coteaux de Coiffy,1.0,4.0,11.0,13.0,,,rosé
Vins de pays/IGP Haute-Marne,Vins de pays/IGP Haute-Marne,2.0,5.0,16.0,17.0,,,rouge
Vins de pays/IGP Haute-Marne,Vins de pays/IGP Haute-Marne,2.0,5.0,12.0,14.0,,,blanc
Vins de pays/IGP Haute-Marne,Vins de pays/IGP Haute-Marne,1.0,3.0,6.0,8.0,,,blanc
Vins de pays/IGP Haute-Marne,Vins de pays/IGP Haute-Marne,1.0,3.0,8.0,10.0,,,rosé
Ajaccio,Ajaccio,2.0,5.0,16.0,16.0,,,rouge
Ajaccio,Ajaccio,1.0,3.0,7.0,9.0,,,blanc
Ajaccio,Ajaccio,1.0,3.0,8.0,10.0,,,rosé
Vins de pays/IGP Charentais,Vins de pays/IGP Charentais,1.0,4.0,16.0,16.0,,,rouge
Vins de pays/IGP Charentais,Vins de pays/IGP Charentais,1.0,2.0,9.0,11.0,,,blanc
Vins de pays/IGP Charentais,Vins de pays/IGP Charentais,1.0,3.0,8.0,10.0,,,rosé
Musct du Cap Corse,Musct du Cap Corse,3.0,10.0,9.0,11.0,,,jaune
Patrimonio,Patrimonio,3.0,10.0,16.0,16.0,,,rouge
Patrimonio,Patrimonio,1.0,3.0,10.0,11.0,,,blanc
Patrimonio,Patrimonio,1.0,2.0,12.0,12.0,,,rosé
Vin de Corse,Vin de Corse,2.0,5.0,16.0,0.0,,,rouge
Vin de Corse,Vin de Corse,1.0,3.0,8.0,0.0,,,blanc
Vin de Corse,Vin de Corse,1.0,3.0,10.0,0.0,,,rosé
Arbois,Arbois,3.0,10.0,14.0,16.0,,,rouge
Arbois,Arbois,1.0,7.0,11.0,0.0,,,blanc
Arbois,Arbois,1.0,2.0,10.0,12.0,,,rosé
Arbois,Arbois Vin de paille,5.0,20.0,7.0,8.0,,,jaune
Arbois,Arbois vin jaune,7.0,40.0,14.0,14.0,,,blanc
Château-Châlon,Château-Châlon,7.0,60.0,14.0,16.0,,,blanc
Côtes du Jura,Côtes du Jura,2.0,8.0,12.0,14.0,,,blanc
Côtes du Jura,Côtes du Jura,2.0,10.0,16.0,16.0,,,rouge
Côtes du Jura,Côtes du Jura,1.0,3.0,8.0,10.0,,,rosé
Côtes du Jura,Côtes du Jura vin Jaune,6.0,40.0,15.0,16.0,,,jaune
Côtes du Jura,Côtes du Jura,5.0,15.0,8.0,10.0,,,jaune
