,Région,Sous-Région,Appellation,Label,Cru,Type,Couleur,Age min,Age max,T°C min,T°max,Type de verre,Commentaires
179,Bourgogne,Côte de Beaune,Maranges,AOC,Maranges Premier Cru,sec,blanc,2.0,5.0,13.0,,,
180,Bourgogne,Côte de Beaune,Meursault,AOC,Meursault Premier Cru,sec,rouge,5.0,20.0,16.0,,,
181,Bourgogne,Côte de Beaune,Meursault,AOC,Meursault,sec,blanc,4.0,10.0,12.0,14.0,,
182,Bourgogne,Côte de Beaune,Meursault,AOC,Meursault Premier Cru,sec,blanc,5.0,15.0,12.0,14.0,,
183,Bourgogne,Côte de Beaune,Monthélie,AOC,Monthélie,sec,rouge,3.0,8.0,16.0,,,
184,Bourgogne,Côte de Beaune,Monthélie,AOC,Monthélie Premier Cru,sec,rouge,3.0,12.0,16.0,,,
185,Bourgogne,Côte de Beaune,Monthélie,AOC,Monthélie,sec,blanc,2.0,5.0,13.0,,,
186,Bourgogne,Côte de Beaune,Monthélie,AOC,Monthélie Premier Cru,sec,blanc,2.0,7.0,13.0,,,
187,Bourgogne,Côte de Beaune,Montrachet,AOC,Montrachet Grand Cru,sec,blanc,7.0,30.0,12.0,14.0,,
188,Bourgogne,Côte de Beaune,Musigny,AOC,Musigny Grand Cru,sec,rouge,7.0,35.0,15.0,16.0,,
189,Bourgogne,Côte de Beaune,Musigny,AOC,Musigny Grand Cru,sec,blanc,7.0,20.0,12.0,14.0,,
190,Bourgogne,Côte de Beaune,Pernand-Vergelesses,AOC,Pernand-Vergelesses,sec,rouge,2.0,7.0,16.0,,,
191,Bourgogne,Côte de Beaune,Pernand-Vergelesses,AOC,Pernand-Vergelesses Premier Cru,sec,rouge,3.0,12.0,16.0,,,
192,Bourgogne,Côte de Beaune,Pernand-Vergelesses,AOC,Pernand-Vergelesses,sec,blanc,1.0,4.0,13.0,,,
193,Bourgogne,Côte de Beaune,Pernand-Vergelesses,AOC,Pernand-Vergelesses Premier Cru,sec,blanc,2.0,10.0,13.0,,,
194,Bourgogne,Côte de Beaune,Pommard,AOC,Pommard,sec,rouge,5.0,15.0,16.0,,,
195,Bourgogne,Côte de Beaune,Pommard,AOC,Pommard Premier Cru,sec,rouge,6.0,20.0,16.0,,,
196,Bourgogne,Côte de Beaune,Puligny-Montrachet,AOC,Puligny-Montrachet,sec,rouge,5.0,10.0,16.0,,,
197,Bourgogne,Côte de Beaune,Puligny-Montrachet,AOC,Puligny-Montrachet Premier Cru,sec,rouge,5.0,15.0,16.0,,,
198,Bourgogne,Côte de Beaune,Puligny-Montrachet,AOC,Puligny-Montrachet,sec,blanc,3.0,10.0,13.0,,,
199,Bourgogne,Côte de Beaune,Puligny-Montrachet,AOC,Puligny-Montrachet Premier Cru,sec,blanc,3.0,15.0,13.0,,,
200,Bourgogne,Côte de Beaune,Saint-Aubin,AOC,Saint-Aubin,sec,rouge,5.0,12.0,16.0,,,
201,Bourgogne,Côte de Beaune,Saint-Aubin,AOC,Saint-Aubin Premier Cru,sec,rouge,6.0,15.0,16.0,,,
202,Bourgogne,Côte de Beaune,Saint-Aubin,AOC,Saint-Aubin,sec,blanc,4.0,10.0,13.0,,,
203,Bourgogne,Côte de Beaune,Saint-Aubin,AOC,Saint-Aubin Premier Cru,sec,blanc,5.0,15.0,13.0,,,
