Région,Sous-Région,Appellation,Label,Cru,Type,Couleur,Age min,Age max,T°C min,T°max,Type de verre,Commentaires
Bourgogne,Côte Chalonnaise,BOURGOGNE-CÔTE-CHALONNAISE,AOC,BOURGOGNE-CÔTE-CHALONNAISE,sec,rouge,2,10,16,,,
Bourgogne,Côte Chalonnaise,BOURGOGNE-CÔTE-CHALONNAISE,AOC,BOURGOGNE-CÔTE-CHALONNAISE,sec,blanc,1,5,13,,,
Bourgogne,Côte Chalonnaise,Bouzeron,AOC,Bouzeron,sec,blanc,1,5,11,13,,
Bourgogne,Côte Chalonnaise,Givry,AOC,Givry,sec,rouge,2,10,16,,,
Bourgogne,Côte Chalonnaise,Givry,AOC,Givry Premier Cru,sec,rouge,3,15,16,,,
Bourgogne,Côte Chalonnaise,Givry,AOC,Givry,sec,blanc,1,5,13,,,
Bourgogne,Côte Chalonnaise,Givry,AOC,Givry Premier Cru,sec,blanc,2,8,13,,,
Bourgogne,Côte Chalonnaise,Mercurey,AOC,Mercurey,sec,rouge,3,7,16,,,
Bourgogne,Côte Chalonnaise,Mercurey,AOC,Mercurey Premier Cru,sec,rouge,3,15,16,,,
Bourgogne,Côte Chalonnaise,Mercurey,AOC,Mercurey,sec,blanc,2,6,12,,,
Bourgogne,Côte Chalonnaise,Mercurey,AOC,Mercurey Premier Cru,sec,blanc,2,10,12,,,
Bourgogne,Côte Chalonnaise,Montagny,AOC,Montagny,sec,blanc,1,4,11,13,,
Bourgogne,Côte Chalonnaise,Montagny,AOC,Montagny premier Cru,sec,blanc,1,6,11,13,,
Bourgogne,Côte Chalonnaise,Rully,AOC,Rully,sec,rouge,2,7,16,,,
Bourgogne,Côte Chalonnaise,Rully,AOC,Rully Premier Cru,sec,rouge,3,8,16,,,
Bourgogne,Côte Chalonnaise,Rully,AOC,Rully,sec,blanc,2,6,13,,,
Bourgogne,Côte Chalonnaise,Rully,AOC,Rully Premier Cru,sec,blanc,3,8,13,,,
Bourgogne,Côte de Beaune,Aloxe-Corton,AOC,Aloxe-Corton Villages,sec,rouge,5,10,16,,,
Bourgogne,Côte de Beaune,Aloxe-Corton,AOC,Aloxe-Corton Premier Cru,sec,rouge,8,20,16,,,
Bourgogne,Côte de Beaune,Aloxe-Corton,AOC,Aloxe-Corton Villages,sec,blanc,3,7,12,,,
Bourgogne,Côte de Beaune,Aloxe-Corton,AOC,Aloxe-Corton Premier Cru,sec,blanc,5,15,12,14,,
Bourgogne,Côte de Beaune,Auxey-Duresses,AOC,Auxey-Duresses Villages,sec,rouge,5,10,16,,,
Bourgogne,Côte de Beaune,Auxey-Duresses,AOC,Auxey-Duresses Premier Cru,sec,rouge,8,20,15,16,,
Bourgogne,Côte de Beaune,Auxey-Duresses,AOC,Auxey-Duresses Villages,sec,blanc,3,7,11,13,,
Bourgogne,Côte de Beaune,Auxey-Duresses,AOC,Auxey-Duresses Premier Cru,sec,blanc,5,10,11,13,,
Bourgogne,Côte de Beaune,Bâtard-Montrachet,AOC,Bâtard-Montrachet Grand Crus,sec,blanc,10,30,12,14,,
Bourgogne,Côte de Beaune,Beaune,AOC,Beaune,sec,rouge,5,15,15,16,,
