age_min,age_max,true_area_id,t_min,t_max,color,comments,glass_type,type
2.0,8.0,6,8.0,10.0,blanc,,,sec
1.0,4.0,6,9.0,11.0,rosé,,,sec
2.0,6.0,1,15.0,0.0,rouge,Les meilleurs jusqu'à 10 ans,Bordelais ; Alsacien,sec
2.0,6.0,2,15.0,0.0,blanc,Les meilleurs jusqu'à 10 ans,Bordelais ; Alsacien,sec
2.0,5.0,3,15.0,0.0,blanc,Les meilleurs jusqu'à 10 ans,Bordelais ; Alsacien,sec
1.0,5.0,107,12.0,14.0,rouge,,,sec
2.0,5.0,108,10.0,12.0,blanc,,,sec
2.0,5.0,109,14.0,14.0,rouge,,,sec
1.0,5.0,109,10.0,12.0,blanc,,,sec
1.0,3.0,109,12.0,0.0,rosé,,,sec
2.0,6.0,110,14.0,16.0,rouge,,,sec
2.0,8.0,110,12.0,14.0,blanc,,,sec
1.0,3.0,110,10.0,12.0,rosé,,,sec
1.0,4.0,69,12.0,14.0,rouge,,,sec
1.0,6.0,69,9.0,11.0,blanc,,,sec
1.0,2.0,69,8.0,10.0,rosé,,,sec
2.0,4.0,72,13.0,15.0,rouge,,,sec
1.0,4.0,72,8.0,10.0,blanc,,,sec
1.0,3.0,72,8.0,10.0,rosé,,,sec
2.0,6.0,73,15.0,17.0,rouge,,,sec
1.0,5.0,73,9.0,12.0,blanc,,,sec
1.0,3.0,73,9.0,11.0,rosé,,,sec
2.0,4.0,75,15.0,16.0,rouge,,,sec
2.0,6.0,75,10.0,12.0,blanc,,,sec
1.0,2.0,75,9.0,11.0,rosé,,,sec
1.0,3.0,82,16.0,16.0,rouge,,,sec
1.0,2.0,82,8.0,10.0,blanc,,,sec
1.0,3.0,82,8.0,11.0,rosé,,,sec
2.0,5.0,83,13.0,15.0,rouge,,,sec
2.0,6.0,83,12.0,14.0,blanc,,,sec
1.0,2.0,83,8.0,10.0,rosé,,,sec
2.0,5.0,80,14.0,15.0,rouge,,,sec
1.0,4.0,80,9.0,11.0,blanc,,,sec
1.0,3.0,80,8.0,10.0,rosé,,,sec
2.0,5.0,85,16.0,16.0,rouge,,,sec
1.0,5.0,85,12.0,14.0,blanc,,,sec
1.0,2.0,85,9.0,11.0,rosé,,,sec
3.0,5.0,86,14.0,15.0,rouge,,,sec
1.0,3.0,86,8.0,11.0,blanc,,,sec
2.0,4.0,86,10.0,13.0,rosé,,,sec
1.0,4.0,87,13.0,15.0,rouge,,,sec
1.0,3.0,87,8.0,10.0,blanc,,,sec
1.0,2.0,87,9.0,11.0,rosé,,,sec
2.0,5.0,88,16.0,17.0,rouge,,,sec
2.0,5.0,88,12.0,14.0,blanc,,,sec
1.0,3.0,88,6.0,8.0,blanc,,,effervescent
1.0,3.0,88,8.0,10.0,rosé,,,sec
2.0,7.0,89,12.0,14.0,rouge,,,sec
2.0,7.0,89,12.0,14.0,blanc,,,sec
1.0,4.0,89,11.0,13.0,rosé,,,sec
2.0,5.0,62,16.0,16.0,rouge,,,sec
1.0,3.0,62,10.0,12.0,blanc,,,sec
1.0,2.0,62,8.0,10.0,rosé,,,sec
2.0,5.0,91,16.0,16.0,rouge,,,sec
1.0,5.0,91,8.0,10.0,blanc,,,sec
1.0,3.0,91,8.0,10.0,rosé,,,sec
1.0,3.0,91,6.0,8.0,blanc,,,effervescent
2.0,10.0,92,16.0,16.0,rouge,,,sec
1.0,2.0,92,8.0,10.0,blanc,,,sec
1.0,3.0,92,9.0,11.0,rosé,,,sec
2.0,6.0,93,16.0,16.0,rouge,,,sec
1.0,3.0,93,8.0,10.0,blanc,,,sec
1.0,4.0,93,10.0,12.0,rosé,,,sec
3.0,12.0,94,16.0,16.0,rouge,,,sec
2.0,8.0,94,11.0,13.0,blanc,,,sec
1.0,3.0,94,9.0,11.0,rosé,,,sec
2.0,6.0,95,16.0,16.0,rouge,,,sec
1.0,4.0,95,10.0,12.0,blanc,,,sec
1.0,3.0,95,10.0,12.0,rosé,,,sec
2.0,4.0,96,16.0,16.0,rouge,,,sec
1.0,4.0,96,8.0,10.0,blanc,,,sec
1.0,3.0,96,8.0,10.0,rosé,,,sec
3.0,5.0,55,8.0,11.0,blanc,,Bordelais ; INAO,sec
1.0,3.0,56,8.0,11.0,blanc,,Bordelais,sec
3.0,5.0,57,14.0,16.0,rouge,,Bordelais,sec
5.0,15.0,57,10.0,13.0,blanc,,Bordelais ; INAO,moelleux
1.0,3.0,58,6.0,8.0,blanc,,Bordelais ; INAO,effervescent
3.0,15.0,59,16.0,18.0,rouge,,,sec
3.0,10.0,100,16.0,18.0,rouge,,,sec
5.0,10.0,101,15.0,16.0,rouge,,,sec
3.0,8.0,102,16.0,18.0,rouge,,,sec
10.0,35.0,103,16.0,16.0,rouge,,,sec
2.0,4.0,99,14.0,15.0,rouge,,,sec
1.0,3.0,99,8.0,10.0,blanc,,,sec
1.0,2.0,99,8.0,9.0,rosé,,,sec
2.0,5.0,112,16.0,16.0,rouge,,,sec
1.0,4.0,112,8.0,10.0,blanc,,,sec
1.0,3.0,112,8.0,10.0,rosé,,,sec
2.0,6.0,113,16.0,16.0,rouge,,,sec
1.0,3.0,113,8.0,10.0,blanc,,,sec
1.0,4.0,113,10.0,12.0,rosé,,,sec
2.0,8.0,114,14.0,16.0,rouge,,,sec
1.0,4.0,114,8.0,10.0,blanc,,,sec
1.0,3.0,114,8.0,10.0,rosé,,,sec
1.0,3.0,115,16.0,16.0,rouge,,,sec
1.0,3.0,115,10.0,12.0,blanc,,,sec
1.0,2.0,115,8.0,10.0,rosé,,,sec
3.0,12.0,42,16.0,0.0,rouge,,,sec
2.0,8.0,42,13.0,0.0,blanc,,,sec
1.0,4.0,117,14.0,16.0,rouge,,,sec
1.0,3.0,117,8.0,10.0,blanc,,,sec
1.0,4.0,117,9.0,11.0,jaune,,,doux
1.0,2.0,117,8.0,10.0,rosé,,,sec
2.0,7.0,118,16.0,16.0,rouge,,,sec
1.0,3.0,118,8.0,10.0,blanc,,,sec
1.0,4.0,118,10.0,11.0,blanc,,,moelleux
1.0,2.0,118,8.0,10.0,rosé,,,sec
1.0,5.0,119,13.0,15.0,rouge,,,sec
1.0,4.0,119,10.0,12.0,blanc,,,sec
1.0,2.0,119,8.0,10.0,rosé,,,sec
8.0,20.0,45,16.0,18.0,rouge,,,sec
10.0,25.0,46,16.0,18.0,rouge,,,sec
7.0,20.0,47,16.0,0.0,rouge,,,sec
3.0,15.0,48,15.0,0.0,rouge,,,sec
3.0,12.0,49,15.0,0.0,rouge,,Bordelais,sec
3.0,8.0,49,10.0,12.0,blanc,,Bordelais,sec
3.0,50.0,49,10.0,13.0,jaune,,Bordelais ; INAO,doux
3.0,5.0,50,15.0,0.0,rouge,,Bordelais,sec
10.0,35.0,51,15.0,16.0,rouge,,,sec
3.0,8.0,36,16.0,0.0,rouge,,,sec
1.0,5.0,36,13.0,0.0,blanc,,,sec
5.0,10.0,44,15.0,15.0,rouge,,Bordelais,sec
5.0,10.0,37,15.0,15.0,rouge,,Bordelais,sec
3.0,7.0,38,8.0,11.0,blanc,,,sec
2.0,5.0,39,8.0,11.0,blanc,,,sec
5.0,15.0,40,8.0,11.0,blanc,,Bordelais,sec
5.0,20.0,40,10.0,12.0,blanc,,Bordelais ; INAO,moelleux
4.0,10.0,29,16.0,0.0,rouge,,,sec
3.0,10.0,29,12.0,14.0,blanc,,,sec
5.0,10.0,35,16.0,0.0,rouge,,,sec
3.0,10.0,35,13.0,0.0,blanc,,,sec
1.0,4.0,198,16.0,16.0,rouge,,,sec
1.0,3.0,198,10.0,11.0,blanc,,,sec
1.0,2.0,198,8.0,10.0,rosé,,,sec
2.0,4.0,199,16.0,16.0,rouge,,,sec
1.0,4.0,199,9.0,11.0,blanc,,,sec
1.0,2.0,199,8.0,10.0,rosé,,,sec
4.0,10.0,237,12.0,14.0,blanc,,,sec
4.0,12.0,238,16.0,0.0,rouge,,,sec
2.0,10.0,238,13.0,0.0,blanc,,,sec
10.0,35.0,122,16.0,18.0,rouge,,,sec
